Evolución Nº de ingresos nuevos en planta;;;;;;;;;;;;;;;;;;;;;
Se incluye todos los pacientes que a fecha de hoy han sido o son positivos.;;;;;;;;;;;;;;;;;;;;;
;Nuevos Ingresos Hospitalarios;01 Araba;02 Cruces;03 Donosti;04 Basurto;05 Galdakao;06 Zumarraga;07 Bidasoa;08 Mendaro;09 Alto Deba;10 San Eloy;11 Urduliz;12 Eibar;13 Leza;14 Sta Marina;15 Gorliz;BERMEO H.;ZALDIBAR H.;ZAMUDIO H.;ÁLAVA PSIQUIÁTRICO H.;
2020/09/24;62;13;8;9;9;5;3;2;1;0;3;0;0;0;9;0;0;0;0;0;
2020/09/25;62;10;10;13;9;6;1;1;2;1;1;2;0;0;2;2;0;0;2;0;
2020/09/26;44;8;8;8;9;1;3;0;2;2;0;1;0;0;2;0;0;0;0;0;
2020/09/27;43;9;8;7;7;1;2;0;1;2;2;0;0;0;4;0;0;0;0;0;
2020/09/28;66;9;6;16;10;6;1;3;3;1;3;1;1;0;4;2;0;0;0;0;
2020/09/29;69;10;14;17;10;5;1;0;2;1;0;0;3;0;5;1;0;0;0;0;
2020/09/30;69;16;16;11;10;4;2;0;0;2;1;1;2;0;3;1;0;0;0;0;
2020/10/01;75;13;15;12;9;5;1;0;3;2;4;1;3;0;4;2;0;0;1;0;
2020/10/02;80;15;21;16;5;3;4;1;2;2;1;1;2;0;6;1;0;0;0;0;
2020/10/03;46;8;14;9;5;2;0;1;0;1;2;2;0;0;2;0;0;0;0;0;
2020/10/04;49;11;5;13;4;3;1;0;1;2;6;0;0;0;3;0;0;0;0;0;
2020/10/05;82;16;12;14;12;9;1;1;4;0;0;3;2;0;7;1;0;0;0;0;
2020/10/06;80;14;12;11;15;8;3;1;3;5;0;1;0;0;6;1;0;;0;0;
2020/10/07;71;10;13;12;8;12;3;0;2;2;2;1;2;0;1;3;0;;0;0;
2020/10/08;74;15;16;14;12;3;4;0;0;2;1;1;0;0;2;3;0;;1;0;
2020/10/09;76;11;10;21;12;6;4;3;0;0;1;4;1;1;2;0;0;;0;0;
2020/10/10;34;9;3;6;2;4;1;0;1;1;0;3;0;0;3;1;0;;0;0;
2020/10/11;49;8;6;9;5;2;5;1;2;2;2;0;0;0;7;0;0;;0;0;
2020/10/12;32;3;5;12;4;4;0;1;1;0;1;0;0;0;1;0;0;;0;0;
2020/10/13;74;10;16;14;9;8;7;2;0;1;0;0;1;0;5;1;0;;0;0;
2020/10/14;91;8;13;18;16;15;6;0;3;2;0;0;0;0;6;4;0;;0;0;
2020/10/15;78;9;9;18;9;5;6;1;1;2;2;4;4;0;6;1;0;;1;0;
2020/10/16;91;17;12;21;8;4;5;3;7;3;1;2;1;0;6;0;0;1;0;0;
2020/10/17;55;11;6;12;7;5;4;0;1;1;1;2;1;0;4;0;0;0;0;0;
2020/10/18;55;9;6;13;6;7;5;0;3;1;0;2;0;0;3;0;0;0;0;0;
2020/10/19;76;7;7;23;13;5;6;1;3;1;0;4;2;0;2;2;0;0;0;0;
2020/10/20;100;16;24;18;15;9;4;0;4;0;1;4;0;0;2;3;0;0;0;0;
2020/10/21;80;6;14;14;8;11;6;2;6;3;1;3;2;0;3;1;0;0;0;0;
2020/10/22;106;12;16;20;13;10;4;4;13;0;4;2;3;0;4;0;0;0;1;0;
2020/10/23;89;10;10;20;5;16;7;1;2;1;1;3;3;0;5;5;0;0;0;0;
2020/10/24;67;9;14;12;11;6;5;1;1;2;0;3;0;0;3;0;0;0;0;0;
2020/10/25;76;15;12;9;11;9;3;4;1;2;1;2;0;0;7;0;0;0;0;0;
2020/10/26;112;16;23;22;10;8;8;4;5;0;6;3;0;1;4;2;0;0;0;0;
